__template__;__title__;__vraag__;__mc1Goed__;__mc2Fout__;__mc3Fout__;__mc4Fout__;__fill1Goed__;__fill2Goed__;__fill3Goed__;__fill4Goed__;__fill5Goed__;__fill6Goed__;__fill7Goed__;__fill8Goed__;__openModelAntwoord__;__openCriterium1__;__openCriterium2__;__openCriterium3__;__openCriterium4__;__1Jaar__;__2Hoofdstuk__;__3Deel__;__4Pargrf__;__5Taal__;__6Omvang__;__7Type__;__8Bron__;__meta__
mc;Je m'appelle Roos.;Je m'appelle Roos.;Ik heet Roos.;Ik woon in Zwolle.;Dat is een hond.;Ik ben 12 jaar.;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253932,253933,253936]}"
mc;Tu habites où?;Tu habites où?;Waar woon jij?;Hoe heet jij?;Wat is dat?;Hoe gaat het?;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253932,253933,253936]}"
mc;J'habite à Zwolle.;J'habite à Zwolle.;Ik woon in Zwolle.;Ik ben 12 jaar.;Ik heet Roos.;Dat is een hond.;;;;;;;;;;;;;;1HV;H01;ABCD;A;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253920,253929,253932,253933,253936]}"
mc;la famille;la famille;de familie, het gezin;de tent;de zus;het meisje;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;le frère;le frère;de broer;de vriend;de vis;de jongen;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;la sœur;la sœur;de zus;de tent;het meisje;het strand;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;le chien;le chien;de hond;de kat;de vriend;de dag;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;le chat;le chat;de kat;de hond;de vis;de dag;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;le poisson;le poisson;de vis;de tent;de vriend;de dag;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;le jour;le jour;de dag;de jongen;de broer;de vis;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;la fille;la fille;het meisje;de zus;de familie, het gezin;de nicht;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;le garçon;le garçon;de jongen;de vriend;de broer;de dag;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;le copain;le copain;de vriend;de vis;de hond;de tent;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;la tente;la tente;de tent;de familie, het gezin;het meisje;het strand;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;il y a;il y a;er is, er zijn;wij blijven;eet smakelijk;het is;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;ici;ici;hier;ook;waarom;dus;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;aussi;aussi;ook;en;dus;hier;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;pourquoi;pourquoi;waarom;voor;dus;dan;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;donc;donc;dus;hier;ook;voor;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;on reste;on reste;wij blijven;het is;eet smakelijk;en jij?;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;c'est;c'est;het is;er is, er zijn;wij blijven;eet smakelijk;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;bon appétit;bon appétit;eet smakelijk;er is, er zijn;wij blijven;en jij?;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;et toi?;et toi?;en jij?;eet smakelijk;het is;er is, er zijn;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253931,253933,253936]}"
mc;Bonjour, ça va?;Bonjour, ça va?;Hallo, hoe gaat het?;Het gaat goed, en met jou?;Wat is dat?;Hoe heet jij?;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253932,253933,253936]}"
mc;Ça va bien, et toi?;Ça va bien, et toi?;Het gaat goed, en met jou?;En jij, hoe oud ben jij?;Hallo, hoe gaat het?;Waar woon jij?;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253932,253933,253936]}"
mc;C'est quoi?;C'est quoi?;Wat is dat?;Hoe heet jij?;Hallo, hoe gaat het?;Waar woon jij?;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253932,253933,253936]}"
mc;C'est un chien.;C'est un chien.;Dat is een hond.;Hij is 13 jaar.;Ik heet Roos.;Ik woon in Zwolle.;;;;;;;;;;;;;;1HV;H01;ABCD;B;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253918,253921,253929,253932,253933,253936]}"
mc;la plage;la plage;het strand;de zee;het zwembad;het ding;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;la mer;la mer;de zee;het probleem;het strand;het bericht;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;le problème;le problème;het probleem;het bericht;het ding;het strand;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;le message;le message;het bericht;het probleem;het ding;de tekening;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;le truc;le truc;het ding;het bericht;de foto;de prijs;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;regarde;regarde;kijk;help;pas op;hier is, hier zijn;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;aider;aider;helpen;kijken;wonen;spreken;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;on adore;on adore;wij zijn gek op;wij blijven;wij spelen;wij lachen;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;merci;merci;bedankt;eet smakelijk;hier is, hier zijn;misschien;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;de rien;de rien;niets te danken;hier is, hier zijn;pas op;oké;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;aujourd'hui;aujourd'hui;vandaag;morgen;dan;misschien;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;demain;demain;morgen;dan;vandaag;dus;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;voilà;voilà;hier is, hier zijn;bedankt;niets te danken;misschien;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;alors;alors;dan;misschien;bedankt;in;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;peut-être;peut-être;misschien;hier is, hier zijn;iets;niets te danken;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;beaucoup;beaucoup;veel;mooi;super;klein;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;dans;dans;in;dan;voor;dus;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;quelque chose;quelque chose;iets;misschien;morgen;vandaag;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;beau;beau;mooi;super;veel;groot;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;super;super;super;mooi;veel;klein;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253931,253933,253936]}"
mc;Quel est ton numéro de téléphone?;Quel est ton numéro de téléphone?;Wat is jouw telefoonnummer?;En jij, hoe oud ben jij?;Hallo, hoe gaat het?;Wat is dat?;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253932,253933,253936]}"
mc;Mon numéro, c'est le 06-14 07 18 5.;Mon numéro, c'est le 06-14 07 18 5.;Mijn nummer is 06-14 07 18 5.;Ik ben 12 jaar.;Dat is een hond.;Ik woon in Zwolle.;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253932,253933,253936]}"
mc;Et toi, tu as quel âge?;Et toi, tu as quel âge?;En jij, hoe oud ben jij?;Wat is jouw telefoonnummer?;Het gaat goed, en met jou?;Hoe heet jij?;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253932,253933,253936]}"
mc;Moi, j'ai 12 ans.;Moi, j'ai 12 ans.;Ik ben 12 jaar.;Mijn nummer is 06-14 07 18 5.;Hij is 12 jaar.;Ik heet Roos.;;;;;;;;;;;;;;1HV;H01;EFGH;E;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253924,253929,253932,253933,253936]}"
mc;le père;le père;de vader;de neef;de oom;de grootvader;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;la mère;la mère;de moeder;de nicht;de prijs;de tante;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;le cousin;le cousin;de neef;de tuin;de oom;de tekening;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;la cousine;la cousine;de nicht;de foto;de muziek;de grootmoeder;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;l'oncle m;l'oncle m;de oom;de neef;de tekening;de tuin;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;la tante;la tante;de tante;de moeder;de grootmoeder;de nicht;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;le grand-père;le grand-père;de grootvader;de vader;de neef;de oom;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;la grand-mère;la grand-mère;de grootmoeder;de tante;de nicht;de moeder;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;le jardin;le jardin;de tuin;de prijs;de tekening;de foto;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;la photo;la photo;de foto;de muziek;de tekening;de prijs;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;la musique;la musique;de muziek;de foto;de prijs;de tekening;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;le dessin;le dessin;de tekening;de tuin;de prijs;de foto;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;le prix;le prix;de prijs;de tuin;de foto;de muziek;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;drôle;drôle;grappig;gek;mooi;super;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;fou;fou;gek;mooi;grappig;klein;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;on rigole;on rigole;wij lachen;wij zijn gek op;wij blijven;jij spreekt;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;souvent;souvent;vaak;altijd;echt;veel;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;toujours;toujours;altijd;vaak;echt;veel;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;avec;avec;met;in;voor;aan;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;vraiment;vraiment;echt;goed;misschien;veel;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253931,253933,253936]}"
mc;Tu as un frère?;Tu as un frère?;Heb je een broer?;Hoe oud is hij?;Hoe heet jij?;Wat is dat?;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253932,253933,253936]}"
mc;Oui, j'ai un frère, Romain.;Oui, j'ai un frère, Romain.;Ja, ik heb een broer, Romain.;Dat is Romain.;Ik heet Romain.;Ik woon in Rome.;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253932,253933,253936]}"
mc;Il a quel âge?;Il a quel âge?;Hoe oud is hij?;Wat is dat?;Waar woon jij?;Hoe heet jij?;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253932,253933,253936]}"
mc;Il a 13 ans.;Il a 13 ans.;Hij is 13 jaar.;Ik ben 13 jaar.;Dat is een hond.;Ik woon in Zwolle.;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253932,253933,253936]}"
mc;Au revoir.;Au revoir.;Tot ziens.;Tot later.;Tot morgen.;Tot vrijdag.;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253932,253933,253936]}"
mc;À plus.;À plus.;Tot later.;Tot vrijdag.;Tot morgen.;Tot ziens.;;;;;;;;;;;;;;1HV;H01;EFGH;F;FA-NL;zin;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253910,253919,253925,253929,253932,253933,253936]}"
mc;la glace;la glace;het ijsje;de koffie;de docent;de vakantie;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
mc;la table;la table;de tafel;de tent;de tuin;de tante;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
mc;le café;le café;de koffie;de vis;de dag;de zus;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
mc;bon;bon;lekker;eet smakelijk;klein;super;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
mc;cher;cher;duur;mooi;super;grappig;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
mc;je prends;je prends;ik neem;ik ben;ik vind (het) leuk;ik woon;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
mc;je voudrais;je voudrais;ik zou graag willen;ik neem;ik ben;ik vind (het) leuk;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
mc;ça coute;ça coute;het kost;er is, er zijn;jij spreekt;jij kunt;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
mc;tu peux;tu peux;jij kunt;jij spreekt;wij spelen;ik woon;;;;;;;;;;;;;;1HV;H02;ABCD;A;FA-NL;woord;mpc;Noordhoff-gl6;"{""objective_ids"": [253905,253911,253918,253920,253929,253931,253933,253936]}"
